time_tag,short_flux,long_flux
2026-03-04 05:52:00+00:00,4.268645437122132e-09,5.30846421042952e-07
2026-03-04 05:53:00+00:00,2.824165568071635e-09,5.317230034052045e-07
2026-03-04 05:54:00+00:00,3.2029754404305777e-09,5.353606411517831e-07
2026-03-04 05:55:00+00:00,3.5368981077255057e-09,5.381072014642996e-07
2026-03-04 05:56:00+00:00,2.475800453538568e-09,5.365656079447945e-07
2026-03-04 05:57:00+00:00,2.1535138117201313e-09,5.37371533937403e-07
2026-03-04 05:58:00+00:00,1.5329832958599354e-09,5.334124466571666e-07
2026-03-04 05:59:00+00:00,1.5838728106842836e-09,5.328217866917839e-07
2026-03-04 06:00:00+00:00,2.385482700262287e-09,5.303005536916316e-07
2026-03-04 06:01:00+00:00,9.999999717180685e-10,5.303629677655408e-07
2026-03-04 06:02:00+00:00,1.92188820413719e-09,5.320342779668863e-07
2026-03-04 06:03:00+00:00,1.3378518293194475e-09,5.317318141351279e-07
2026-03-04 06:04:00+00:00,2.2543868993807337e-09,5.321836624716525e-07
2026-03-04 06:05:00+00:00,3.949065074948521e-09,5.301581040839665e-07
2026-03-04 06:06:00+00:00,5.1575712589624345e-09,5.309426001076645e-07
2026-03-04 06:07:00+00:00,4.176706536185293e-09,5.291195179779606e-07
2026-03-04 06:08:00+00:00,3.1872215977557516e-09,5.27636132119369e-07
2026-03-04 06:09:00+00:00,3.8809955249519135e-09,5.259318527350842e-07
2026-03-04 06:10:00+00:00,2.020919209755334e-09,5.260065449874674e-07
2026-03-04 06:11:00+00:00,2.49429077392449e-09,5.251700940789306e-07
2026-03-04 06:12:00+00:00,2.3527089165753523e-09,5.240263476480322e-07
2026-03-04 06:13:00+00:00,3.6484200105491027e-09,5.237022264736879e-07
2026-03-04 06:14:00+00:00,2.5911184309279633e-09,5.262294280328206e-07
2026-03-04 06:15:00+00:00,2.395659448595211e-09,5.267864935376565e-07
2026-03-04 06:16:00+00:00,3.1974825009939423e-09,5.265823688205273e-07
2026-03-04 06:17:00+00:00,3.1152609381024376e-09,5.254521511233179e-07
2026-03-04 06:18:00+00:00,1.0445297959904565e-09,5.262915010462166e-07
2026-03-04 06:19:00+00:00,1.991366849196652e-09,5.262011200102279e-07
2026-03-04 06:20:00+00:00,2.1963555418835767e-09,5.280087975734205e-07
2026-03-04 06:21:00+00:00,2.7600339791433726e-09,5.303630814523785e-07
2026-03-04 06:22:00+00:00,1.9577741650067537e-09,5.311904942573165e-07
2026-03-04 06:23:00+00:00,1.2575204211273672e-09,5.322047513800499e-07
2026-03-04 06:24:00+00:00,2.4547790467011055e-09,5.319255933500244e-07
2026-03-04 06:25:00+00:00,2.944201771271082e-09,5.316010174283292e-07
2026-03-04 06:26:00+00:00,3.840947115918425e-09,5.302370027493453e-07
2026-03-04 06:27:00+00:00,3.340172138877051e-09,5.276178285384958e-07
2026-03-04 06:28:00+00:00,4.610670956139984e-09,5.317685918271309e-07
2026-03-04 06:29:00+00:00,4.054403035524956e-09,5.305873287397844e-07
2026-03-04 06:30:00+00:00,4.511747420110623e-09,5.314943223311275e-07
2026-03-04 06:31:00+00:00,5.3770192742774725e-09,5.319744786902447e-07
2026-03-04 06:32:00+00:00,3.602587339557317e-09,5.305493004925665e-07
2026-03-04 06:33:00+00:00,2.943988830494959e-09,5.328023462425335e-07
2026-03-04 06:34:00+00:00,2.9074025409414617e-09,5.351008667275892e-07
2026-03-04 06:35:00+00:00,2.6044759682264385e-09,5.36992160959926e-07
2026-03-04 06:36:00+00:00,1.698802432059665e-09,5.389400143940293e-07
2026-03-04 06:37:00+00:00,2.28740737462374e-09,5.408579113463929e-07
2026-03-04 06:38:00+00:00,1.4645192836226784e-09,5.397817517405201e-07
2026-03-04 06:39:00+00:00,2.9056759220935646e-09,5.487874545906379e-07
2026-03-04 06:40:00+00:00,2.6420856613640353e-09,5.522397259483114e-07
2026-03-04 06:41:00+00:00,3.783008128976917e-09,5.468377821671311e-07
2026-03-04 06:42:00+00:00,2.229879170201343e-09,5.461051273414341e-07
2026-03-04 06:43:00+00:00,2.6908821837423602e-09,5.499020971910795e-07
2026-03-04 06:44:00+00:00,3.971788675727339e-09,5.559891746997891e-07
2026-03-04 06:45:00+00:00,3.7491467708150594e-09,5.557762392527366e-07
2026-03-04 06:46:00+00:00,2.6716331369414092e-09,5.547729529098433e-07
2026-03-04 06:47:00+00:00,3.108939328200222e-09,5.566218987951288e-07
2026-03-04 06:48:00+00:00,4.088133387369908e-09,5.747877480644092e-07
2026-03-04 06:49:00+00:00,5.5689519662394105e-09,6.038141009412357e-07
2026-03-04 06:50:00+00:00,2.865222725745298e-09,5.659027237925329e-07
2026-03-04 06:51:00+00:00,3.394454495264654e-09,5.591099920820852e-07
2026-03-04 06:52:00+00:00,3.1899649588496004e-09,5.581991899816785e-07
2026-03-04 06:53:00+00:00,1.4115860702546001e-09,5.573157864091627e-07
2026-03-04 06:54:00+00:00,9.999999717180685e-10,5.559928126785962e-07
2026-03-04 06:55:00+00:00,1.364031221307016e-09,5.56257134576299e-07
2026-03-04 06:56:00+00:00,1.5507949369109042e-09,5.515258294508385e-07
2026-03-04 06:57:00+00:00,9.999999717180685e-10,5.519206638382457e-07
2026-03-04 06:58:00+00:00,1.2840112306733431e-09,5.553736173169455e-07
2026-03-04 06:59:00+00:00,1.258835813366943e-09,5.590677574218716e-07
2026-03-04 07:00:00+00:00,1.5471927072852054e-09,5.69989765608625e-07
2026-03-04 07:01:00+00:00,1.5138359454880401e-09,5.881771016902348e-07
2026-03-04 07:02:00+00:00,1.6530088409183463e-09,5.889982048756792e-07
2026-03-04 07:03:00+00:00,1.185469944431361e-09,5.818927206746594e-07
2026-03-04 07:04:00+00:00,1.6526463531008062e-09,5.72200747228635e-07
2026-03-04 07:05:00+00:00,1.5212137105535817e-09,5.619416469926364e-07
2026-03-04 07:06:00+00:00,1.6497035959517348e-09,5.59837417313247e-07
2026-03-04 07:07:00+00:00,9.999999717180685e-10,5.551970048145449e-07
2026-03-04 07:08:00+00:00,9.999999717180685e-10,5.527501230062626e-07
2026-03-04 07:09:00+00:00,9.999999717180685e-10,5.49131300431327e-07
2026-03-04 07:10:00+00:00,1.3044169078213486e-09,5.521186494661379e-07
2026-03-04 07:11:00+00:00,9.999999717180685e-10,5.53314350781875e-07
2026-03-04 07:12:00+00:00,1.2654967074254841e-09,5.518088528333465e-07
2026-03-04 07:13:00+00:00,9.999999717180685e-10,5.485502470037318e-07
2026-03-04 07:14:00+00:00,9.999999717180685e-10,5.510095775207446e-07
2026-03-04 07:15:00+00:00,1.372603031235542e-09,5.48241814612993e-07
2026-03-04 07:16:00+00:00,9.999999717180685e-10,5.477286322275177e-07
2026-03-04 07:17:00+00:00,9.999999717180685e-10,5.48107891518157e-07
2026-03-04 07:18:00+00:00,9.999999717180685e-10,5.428652798400435e-07
